Ulke;D1;D2;D3;D4
Brezilya;10296;91;23.4;75.2
Avustralya;39590;98;4.11;79.6
Nijerya;831;39.1;96.1;41.9
Kuveyt;43159;100;4.52;80.7
Çin;5311;91.1;24;74
İspanya;13298;96.9;13.3;75.5
Arjantin;34111;98;5.04;79.2
Güney Afrika;10603;82.3;45.1;49.2
Avusturya;1000;7;92.4;42.1
Belçika;5251;84;42.1;53.2
Gürcistan;4199;101;17.41;72
Bosna Hersek;3321;50;67.4;65.7
Kırgızistan;2974;62;54;64.6
Türkiye;12876;89.1;27.4;71.9
İngiltere;34729;98;3.3;81.1
Litvanya;19729;99.7;8.3;74
Slovenya;36979;96.1;5.35;79.6
İtalya;26761;96.1;5.35;79.6
Portekiz;34101;99.3;3.3;82.5
